dataset,seed,bootstrap_repeats,caliper,method,effect,ci_low,ci_high,ci_width,balance_after
nhefs,123,20,0.02,IPWEstimator,3.2634978711907743,2.830613962071335,3.9652667627799287,1.1346528007085936,0.012853630864701801
nhefs,123,20,0.02,DoublyRobustEstimator,3.293647427944588,2.8282808604946736,4.035765960396147,1.2074850999014735,0.012853630864701768
nhefs,123,20,0.02,PropensityMatcher,3.2117884332647817,2.1570615107208138,4.264437705547579,2.107376194826765,0.029879113398767032
nhefs,123,20,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.665043551139155,3.982525022047301,1.3174814709081462,0.1521322101281169
nhefs,123,20,0.05,IPWEstimator,3.2634978711907743,2.830613962071335,3.9652667627799287,1.1346528007085936,0.012853630864701801
nhefs,123,20,0.05,DoublyRobustEstimator,3.293647427944588,2.8282808604946736,4.035765960396147,1.2074850999014735,0.012853630864701768
nhefs,123,20,0.05,PropensityMatcher,3.179420589179487,2.263509167060891,4.2196807435513985,1.9561715764905077,0.03034650732298481
synthetic,123,20,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.812362989875016,2.0973597093431855,0.2849967194681695,0.4101570945338573
synthetic,123,20,0.02,IPWEstimator,1.927137190707402,1.7616845076526535,2.2131465459283803,0.45146203827572684,0.01574644379960979
synthetic,123,20,0.02,DoublyRobustEstimator,1.9354540855590772,1.7843213988194044,2.055503916126405,0.2711825173070004,0.015746443799608996
synthetic,123,20,0.02,PropensityMatcher,1.7069487424995728,1.1427157463439284,2.295361899494151,1.1526461531502226,0.05052043831836204
lalonde,123,40,0.03,RegressionAdjustmentEstimator,1548.2438020003797,276.7031925145765,3394.0588555689446,3117.355663054368,0.5085763727684149
lalonde,123,40,0.03,IPWEstimator,232.42121949850025,-1399.5408298727493,1742.4866874588542,3142.0275173316036,0.14935561296631406
lalonde,123,40,0.03,DoublyRobustEstimator,798.718243476316,-1772.4207963875783,2519.0598538602103,4291.480650247789,0.15822617744353895
lalonde,123,40,0.03,PropensityMatcher,1052.1097784403669,-1119.022335253611,3271.388010725238,4390.410345978849,0.0643519114997541
lalonde,123,40,0.05,RegressionAdjustmentEstimator,1548.2438020003797,276.7031925145765,3394.0588555689446,3117.355663054368,0.5085763727684149
lalonde,123,40,0.05,IPWEstimator,232.42121949850025,-1399.5408298727493,1742.4866874588542,3142.0275173316036,0.14935561296631406
lalonde,123,40,0.05,DoublyRobustEstimator,798.718243476316,-1772.4207963875783,2519.0598538602103,4291.480650247789,0.15822617744353895
lalonde,123,40,0.05,PropensityMatcher,1540.0712793577982,-836.139273903632,3205.266091684421,4041.405365588053,0.07344052274257647
lalonde,123,40,0.1,RegressionAdjustmentEstimator,1548.2438020003797,276.7031925145765,3394.0588555689446,3117.355663054368,0.5085763727684149
lalonde,123,40,0.1,IPWEstimator,232.42121949850025,-1399.5408298727493,1742.4866874588542,3142.0275173316036,0.14935561296631406
lalonde,123,40,0.1,DoublyRobustEstimator,798.718243476316,-1772.4207963875783,2519.0598538602103,4291.480650247789,0.15822617744353895
lalonde,123,40,0.1,PropensityMatcher,1175.4190555045873,-846.3025091130698,2845.992731336957,3692.295240450027,0.084651858788
nhefs,123,40,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.037387202680484,1.39417793480211,0.1521322101281169
nhefs,123,40,0.01,IPWEstimator,3.2634978711907743,2.607835580762442,4.042480656533106,1.4346450757706646,0.012853630864701801
nhefs,123,40,0.01,DoublyRobustEstimator,3.293647427944588,2.616251217054478,4.145946280767818,1.5296950637133402,0.012853630864701768
nhefs,123,40,0.01,PropensityMatcher,3.103357800694088,2.178335178485983,4.383775019858624,2.205439841372641,0.029097592224732145
nhefs,123,40,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.037387202680484,1.39417793480211,0.1521322101281169
nhefs,123,40,0.02,IPWEstimator,3.2634978711907743,2.607835580762442,4.042480656533106,1.4346450757706646,0.012853630864701801
nhefs,123,40,0.02,DoublyRobustEstimator,3.293647427944588,2.616251217054478,4.145946280767818,1.5296950637133402,0.012853630864701768
nhefs,123,40,0.02,PropensityMatcher,3.2117884332647817,2.1611078229986727,4.375889065475833,2.21478124247716,0.029879113398767032
nhefs,123,40,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.037387202680484,1.39417793480211,0.1521322101281169
nhefs,123,40,0.05,IPWEstimator,3.2634978711907743,2.607835580762442,4.042480656533106,1.4346450757706646,0.012853630864701801
nhefs,123,40,0.05,DoublyRobustEstimator,3.293647427944588,2.616251217054478,4.145946280767818,1.5296950637133402,0.012853630864701768
nhefs,123,40,0.05,PropensityMatcher,3.179420589179487,2.2669887331142653,4.454806218108549,2.1878174849942833,0.03034650732298481
synthetic,123,40,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.767987487178775,2.1138369224157145,0.34584943523693945,0.4101570945338573
synthetic,123,40,0.02,IPWEstimator,1.927137190707402,1.6188321472611247,2.2231416679291116,0.6043095206679869,0.01574644379960979
synthetic,123,40,0.02,DoublyRobustEstimator,1.9354540855590772,1.6988567395201193,2.0969816652379625,0.3981249257178432,0.015746443799608996
synthetic,123,40,0.02,PropensityMatcher,1.7069487424995728,1.0792907226443225,2.3699760591680605,1.290685336523738,0.05052043831836204
lalonde,123,80,0.03,RegressionAdjustmentEstimator,1548.2438020003797,-174.1052709764314,2692.247317157925,2866.352588134356,0.5085763727684149
lalonde,123,80,0.03,IPWEstimator,232.42121949850025,-1786.5599270940818,1735.96839326651,3522.528320360592,0.14935561296631406
lalonde,123,80,0.03,DoublyRobustEstimator,798.718243476316,-1984.3623873087874,2536.087449842313,4520.449837151101,0.15822617744353895
lalonde,123,80,0.03,PropensityMatcher,1052.1097784403669,-1119.022335253611,2937.053586507006,4056.075921760617,0.0643519114997541
lalonde,123,80,0.05,RegressionAdjustmentEstimator,1548.2438020003797,-174.1052709764314,2692.247317157925,2866.352588134356,0.5085763727684149
lalonde,123,80,0.05,IPWEstimator,232.42121949850025,-1786.5599270940818,1735.96839326651,3522.528320360592,0.14935561296631406
lalonde,123,80,0.05,DoublyRobustEstimator,798.718243476316,-1984.3623873087874,2536.087449842313,4520.449837151101,0.15822617744353895
lalonde,123,80,0.05,PropensityMatcher,1540.0712793577982,-864.4856878193667,3029.2542046081226,3893.7398924274894,0.07344052274257647
lalonde,123,80,0.1,RegressionAdjustmentEstimator,1548.2438020003797,-174.1052709764314,2692.247317157925,2866.352588134356,0.5085763727684149
lalonde,123,80,0.1,IPWEstimator,232.42121949850025,-1786.5599270940818,1735.96839326651,3522.528320360592,0.14935561296631406
lalonde,123,80,0.1,DoublyRobustEstimator,798.718243476316,-1984.3623873087874,2536.087449842313,4520.449837151101,0.15822617744353895
lalonde,123,80,0.1,PropensityMatcher,1175.4190555045873,-1147.0212278873098,2712.7188782038565,3859.740106091166,0.084651858788
nhefs,123,80,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.150685042267369,1.5074757743889955,0.1521322101281169
nhefs,123,80,0.01,IPWEstimator,3.2634978711907743,2.470241295202558,4.055957939213919,1.5857166440113613,0.012853630864701801
nhefs,123,80,0.01,DoublyRobustEstimator,3.293647427944588,2.56577233815028,4.145946280767816,1.5801739426175354,0.012853630864701768
nhefs,123,80,0.01,PropensityMatcher,3.103357800694088,2.2577444378227205,4.485623984331863,2.227879546509142,0.029097592224732145
nhefs,123,80,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.150685042267369,1.5074757743889955,0.1521322101281169
nhefs,123,80,0.02,IPWEstimator,3.2634978711907743,2.470241295202558,4.055957939213919,1.5857166440113613,0.012853630864701801
nhefs,123,80,0.02,DoublyRobustEstimator,3.293647427944588,2.56577233815028,4.145946280767816,1.5801739426175354,0.012853630864701768
nhefs,123,80,0.02,PropensityMatcher,3.2117884332647817,2.3103893412773298,4.445241621127034,2.134852279849704,0.029879113398767032
nhefs,123,80,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.643209267878374,4.150685042267369,1.5074757743889955,0.1521322101281169
nhefs,123,80,0.05,IPWEstimator,3.2634978711907743,2.470241295202558,4.055957939213919,1.5857166440113613,0.012853630864701801
nhefs,123,80,0.05,DoublyRobustEstimator,3.293647427944588,2.56577233815028,4.145946280767816,1.5801739426175354,0.012853630864701768
nhefs,123,80,0.05,PropensityMatcher,3.179420589179487,2.273347960801559,4.454806218108548,2.1814582573069887,0.03034650732298481
synthetic,123,80,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.770038864407706,2.15605064216166,0.3860117777539538,0.4101570945338573
synthetic,123,80,0.02,IPWEstimator,1.927137190707402,1.6188321472611247,2.2231416679291107,0.604309520667986,0.01574644379960979
synthetic,123,80,0.02,DoublyRobustEstimator,1.9354540855590772,1.7121519276522166,2.1292322420074976,0.41708031435528103,0.015746443799608996
synthetic,123,80,0.02,PropensityMatcher,1.7069487424995728,1.1280090385215502,2.3616638931060017,1.2336548545844515,0.05052043831836204
lalonde,7,20,0.03,RegressionAdjustmentEstimator,1548.2438020003797,-115.85126248779588,2802.3092026004324,2918.160465088228,0.5085763727684149
lalonde,7,20,0.03,IPWEstimator,232.42121949850025,-1557.4694689498685,1674.0212958809705,3231.490764830839,0.14935561296631406
lalonde,7,20,0.03,DoublyRobustEstimator,798.718243476316,-1984.1872088475952,2270.435454700149,4254.622663547744,0.15822617744353895
lalonde,7,20,0.03,PropensityMatcher,1052.1097784403669,-1203.971593115227,2216.7539350600846,3420.7255281753114,0.0643519114997541
lalonde,7,20,0.05,RegressionAdjustmentEstimator,1548.2438020003797,-115.85126248779588,2802.3092026004324,2918.160465088228,0.5085763727684149
lalonde,7,20,0.05,IPWEstimator,232.42121949850025,-1557.4694689498685,1674.0212958809705,3231.490764830839,0.14935561296631406
lalonde,7,20,0.05,DoublyRobustEstimator,798.718243476316,-1984.1872088475952,2270.435454700149,4254.622663547744,0.15822617744353895
lalonde,7,20,0.05,PropensityMatcher,1540.0712793577982,-623.0908040625773,2365.489024582685,2988.5798286452623,0.07344052274257647
lalonde,7,20,0.1,RegressionAdjustmentEstimator,1548.2438020003797,-115.85126248779588,2802.3092026004324,2918.160465088228,0.5085763727684149
lalonde,7,20,0.1,IPWEstimator,232.42121949850025,-1557.4694689498685,1674.0212958809705,3231.490764830839,0.14935561296631406
lalonde,7,20,0.1,DoublyRobustEstimator,798.718243476316,-1984.1872088475952,2270.435454700149,4254.622663547744,0.15822617744353895
lalonde,7,20,0.1,PropensityMatcher,1175.4190555045873,-787.9463037040737,2257.4986209865915,3045.444924690665,0.084651858788
nhefs,7,20,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.7330716511238418,3.9664931751645427,1.233421524040701,0.1521322101281169
nhefs,7,20,0.01,IPWEstimator,3.2634978711907743,2.8037243732771304,3.8163246177473655,1.0126002444702351,0.012853630864701801
nhefs,7,20,0.01,DoublyRobustEstimator,3.293647427944588,2.8510207606862794,3.893199365215849,1.0421786045295698,0.012853630864701768
nhefs,7,20,0.01,PropensityMatcher,3.103357800694088,2.8376649843671378,4.350127894111094,1.5124629097439564,0.029097592224732145
