dgp,n,replication,estimator,estimate,se,ci_low,ci_high,covered,true_effect
nonlinear_propensity,200,5,FlexibleDR,1.8076457878448446,0.2008080579942451,1.9023203589207363,2.009719945306234,True,2.0
nonlinear_propensity,200,6,Regression,2.0922636701355963,0.14849041818935418,1.8958525523764251,2.062003041286126,True,2.0
nonlinear_propensity,200,6,Matching,2.1233537335002053,0.20586958488715099,1.8270497432662207,2.1888653054604306,True,2.0
nonlinear_propensity,200,6,IPW,2.080908635584613,0.2911969517910358,1.8775844383811022,2.0737478388637887,True,2.0
nonlinear_propensity,200,6,DR,2.1032490793919814,0.1479363798975818,1.8903780405585768,2.0759356695371984,True,2.0
nonlinear_propensity,200,6,CrossFitDR,2.107715236374682,0.15583696039538847,1.9123632346872919,2.042980788102344,True,2.0
nonlinear_propensity,200,6,FlexibleDR,2.264710736877887,0.1805892850390598,1.9467276841445909,2.199360957587704,True,2.0
nonlinear_propensity,200,7,Regression,2.0049807505934205,0.13941298104191444,1.9695287022437955,2.178315146744684,True,2.0
nonlinear_propensity,200,7,Matching,2.1113019743288732,0.1800793400025526,1.9863633251654145,2.316038259569766,True,2.0
nonlinear_propensity,200,7,IPW,2.0086154284126456,0.3497418606029035,1.9720981171265353,2.1765421995631926,True,2.0
nonlinear_propensity,200,7,DR,2.006055027306851,0.13767030303959782,1.97354892069853,2.1759694253205546,True,2.0
nonlinear_propensity,200,7,CrossFitDR,2.0264778369137533,0.141213164952453,2.003140193800238,2.160845387125385,False,2.0
nonlinear_propensity,200,7,FlexibleDR,2.0262358064879296,0.1568420975950218,1.9210574393709074,2.161914701755606,True,2.0
nonlinear_propensity,200,8,Regression,1.8651846928553488,0.14020533454318168,1.99701788780211,2.0589936147850696,True,2.0
nonlinear_propensity,200,8,Matching,1.8795611860217225,0.20138010935589912,1.9284401515870502,2.143504868619695,True,2.0
nonlinear_propensity,200,8,IPW,1.858872117560576,0.31882844106170705,1.9979920988069684,2.056885825341416,True,2.0
nonlinear_propensity,200,8,DR,1.866344718378516,0.1392288773953763,1.998088777033527,2.0693678261151778,True,2.0
nonlinear_propensity,200,8,CrossFitDR,1.8636438470769727,0.14558246095282334,1.954112201179932,2.085665589556892,True,2.0
nonlinear_propensity,200,8,FlexibleDR,1.7568784492699212,0.16073244029699213,1.7312587152191632,1.7833301864570112,False,2.0
nonlinear_propensity,200,9,Regression,2.042911612561344,0.13883460132154998,2.0263832796161143,2.12268082689922,False,2.0
nonlinear_propensity,200,9,Matching,1.8962969577503037,0.16929942731537012,1.9297320475921154,2.068334404767961,True,2.0
nonlinear_propensity,200,9,IPW,2.050909338865444,0.30956500034450857,2.0268149085097447,2.149870323792411,False,2.0
nonlinear_propensity,200,9,DR,2.043416008352845,0.13862427456665471,2.0174985831956187,2.130387044673774,False,2.0
nonlinear_propensity,200,9,CrossFitDR,2.0604153756180734,0.1452299389312946,2.007505592998706,2.1379294091955736,False,2.0
nonlinear_propensity,200,9,FlexibleDR,2.059248535306724,0.16472359036541986,2.128001595028142,2.1677475212915156,False,2.0
double_nonlinear,200,0,Regression,2.299373880403437,0.14235794509923877,2.143452520440009,2.3950449874869415,False,2.0
double_nonlinear,200,0,Matching,2.0660343373954455,0.14331192659501324,2.0041971136501635,2.1422835560821643,False,2.0
double_nonlinear,200,0,IPW,2.332436397789845,0.2209886140531153,2.163117850861968,2.454405050217748,False,2.0
